cd,nm,gb
A053950,경남제약,701
A002100,경농,701
A009450,경동나비엔,701
A267290,경동도시가스,701
A012320,경동인베스트,701
A011040,경동제약,701
A000050,경방,701
A214390,경보제약,701
A012610,경인양행,701
A009140,경인전자,701
A024910,경창산업,701
A013580,계룡건설,701
A012200,계양전기,701
A002140,고려산업,701
A198440,고려시멘트,701
A049720,고려신용정보,701
A010130,고려아연,701
A002240,고려제강,701
A014570,고려제약,701
A348150,고바이오랩,701
A098460,고영,701
A035290,골드앤에스,701
A038530,골드퍼시픽,701
A123900,골든블루,701
A900280,골든센츄리,701
A215000,골프존,701
A121440,골프존뉴딘홀딩스,701
A183410,골프존데카,701
A068750,곰앤컴퍼니,701
A076340,관악산업,701
A009290,광동제약,701
A014200,광림,701
A017040,광명전기,701
A017900,광전자,701
A037710,광주신세계,701
A026910,광진실업,701
A355150,교보10호스팩,701
A397880,교보11호스팩,701
A331520,교보9호스팩,701
A030610,교보증권,701
A201150,교육혁명,701
A339770,교촌에프앤비,701
A053270,구영테크,701
A007690,국도화학,701
A005320,국동,701
A001140,국보,701
A066620,국보디자인,701
A043650,국순당,701
A006050,국영지앤엠,701
A060480,국일신동,701
A078130,국일제지,701
A307750,국전약품,701
A002720,국제약품,701
A243870,굿센,701
A204020,그리티,701
A083420,그린케미칼,701
A186230,그린플러스,701
A014530,극동유화,701
A900070,글로벌에스엠,701
A204620,글로벌텍스프리,701
A019660,글로본,701
A014280,금강공업,701
A053260,금강철강,701
A008870,금비,701
A001570,금양,701
A002990,금호건설,701
A011780,금호석유,701
A214330,금호에이치티,701
A001210,금호전기,701
A073240,금호타이어,701
A036190,금화피에스시,701
A049080,기가레인,701
A035460,기산텔레콤,701
A092440,기신정기,701
A000270,기아,701
A024110,기업은행,701
A013700,까뮤이앤씨,701
A308100,까스텔바작,701
A004540,깨끗한나라,701
A237010,끄렘드라끄렘,701
A187790,나노,701
A286750,나노브릭,701
A151910,나노스,701
A121600,나노신소재,701
A247660,나노씨엠에스,701
A039860,나노엔텍,701
A091970,나노캠텍,701
A244880,나눔테크,701
A288490,나라소프트,701
A051490,나라엠앤디,701
A137080,나래나노텍,701
A190510,나무가,701
A242040,나무기술,701
A089600,나스미디어,701
A293580,나우IB,701
A257990,나우코스,701
A138610,나이벡,701
A130580,나이스디앤비,701
A036800,나이스정보통신,701
A267320,나인테크,701
A001260,남광토건,701
A008350,남선알미늄,701
A004270,남성,701
A003920,남양유업,701
A025860,남해화학,701
A111710,남화산업,701
A091590,남화토건,701
A079180,내일신문,701
A168330,내츄럴엔도텍,701
A094860,네오리진,701
A253590,네오셈,701
A212560,네오오토,701
A095660,네오위즈,701
A042420,네오위즈홀딩스,701
A950220,네오이뮨텍(Reg.S),701
A311390,네오크레마,701
A085910,네오티스,701
A092730,네오팜,701
A290660,네오펙트,701
A306620,네온테크,701
A153460,네이블,701
A007390,네이처셀,701
A086220,네추럴FNP,701
A033640,네패스,701
A330860,네패스아크,701
A005720,넥센,701
A002350,넥센타이어,701
A089140,넥스턴바이오,701
A065170,넥스트BT,701
A003580,넥스트사이언스,701
A137940,넥스트아이,701
A348210,넥스틴,701
A041140,넥슨지티,701
A217270,넵튠,701
A225570,넷게임즈,701
A251270,넷마블,701
A298420,넷마블네오,701
A317860,노드메이슨,701
A104620,노랑풍선,701
A090350,노루페인트,701
A000320,노루홀딩스,701
A194700,노바렉스,701
A285490,노바텍,701
A229500,노브메타파마,701
A376930,노을,701
A278650,노터스,701
A006280,녹십자,701
A142280,녹십자엠에스,701
A234690,녹십자웰빙,701
A005250,녹십자홀딩스,701
A065560,녹원씨엔아이,701
A004370,농심,701
A072710,농심홀딩스,701
A054050,농우바이오,701
A069140,누리플랜,701
A040160,누리플렉스,701
A126870,뉴로스,701
A060260,뉴보텍,701
A012340,뉴인텍,701
A074750,뉴젠팜,701
A227680,뉴젠홀딩스,701
A214870,뉴지랩파마,701
A270870,뉴트리,701
A144960,뉴파워프라즈마,701
A085670,뉴프렉스,701
A119860,다나와,701
A064260,다날,701
A093640,다믈멀티미디어,701
A340360,다보링크,701
A015150,다산,701
A039560,다산네트웍스,701
A058730,다스코,701
A023590,다우기술,701
A032190,다우데이타,701
A323350,다원넥스뷰,701
A068240,다원시스,701
A145210,다이나믹디자인,701
A271850,다이오진,701
A009280,다함이텍,701
A343090,단디바이오,701
A019680,대교,701
A006370,대구백화점,701
A008060,대덕,701
A353200,대덕전자,701
A000490,대동,701
A178600,대동고려삼,701
A020400,대동금속,701
A008830,대동기어,701
A012350,대동모빌리티,701
A048470,대동스틸,701
A008110,대동전자,701
A004780,대륙제관,701
A005750,대림B&Co,701
A017650,대림제지,701
A006570,대림통상,701
A007720,대명소노시즌,701
A389260,대명에너지,701
A317850,대모,701
A026970,대백저축은행,701
A290670,대보마그네틱,701
A078140,대봉엘에스,701
A001680,대상,701
A084690,대상홀딩스,701
A036480,대성미생물,701
A128820,대성산업,701
A117580,대성에너지,701
A025440,대성엘텍,701
A027830,대성창투,701
A104040,대성파인텍,701
A016710,대성홀딩스,701
A387310,대신밸런스제10호스팩,701
A397500,대신밸런스제11호스팩,701
A332290,대신밸런스제7호스팩,701
A336570,대신밸런스제8호스팩,701
A020180,대신정보통신,701
A003540,대신증권,701
A045390,대아티아이,701
A009190,대양금속,701
A108380,대양전기공업,701
A006580,대양제지,701
A252980,대영씨엔이,701
A014160,대영포장,701
A047040,대우건설,701
A009320,대우부품,701
A140320,대우산업개발,701
A042660,대우조선해양,701
A003090,대웅,701
A069620,대웅제약,701
A007680,대원,701
A000430,대원강업,701
A048910,대원미디어,701
A005710,대원산업,701
A006340,대원전선,701
A003220,대원제약,701
A024890,대원화성,701
A290380,대유,701
A002880,대유에이텍,701
A290120,대유에이피,701
A000300,대유플러스,701
A120240,대정화금,701
A003310,대주산업,701
A114920,대주이엔티,701
A078600,대주전자재료,701
A008340,대주코레스,701
A012800,대창,701
A015230,대창단조,701
A096350,대창솔루션,701
A140520,대창스틸,701
A131220,대한과학,701
A010170,대한광통신,701
A060900,대한그린파워,701
A054670,대한뉴팜,701
A001070,대한방직,701
A023910,대한약품,701
A006650,대한유화,701
A001440,대한전선,701
A084010,대한제강,701
A001790,대한제당,701
A001130,대한제분,701
A003490,대한항공,701
A005880,대한해운,701
A003830,대한화섬,701
A016090,대현,701
A069460,대호에이엘,701
A021040,대호특수강,701
A067080,대화제약,701
A298540,더네이쳐홀딩스,701
A192080,더블유게임즈,701
A299170,더블유에스아이,701
A065310,더스텔라,701
A012510,더존비즈온,701
A072700,더존홀딩스,701
A302920,더콘텐츠온,701
A213420,덕산네오룩스,701
A317330,덕산테코피아,701
A077360,덕산하이메탈,701
A004830,덕성,701
A090410,덕신하우징,701
A024900,덕양산업,701
A263600,덕우전자,701
A194480,데브시스터즈,701
A348840,데이드림엔터,701
A263800,데이타솔루션,701
A199150,데이터스트림즈,701
A206560,덱스터,701
A261200,덴티스,701
A145720,덴티움,701
A227420,도부마스크,701
A067990,도이치모터스,701
A002150,도화엔지니어링,701
A006620,동구바이오제약,701
A100130,동국S&C,701
A005160,동국산업,701
A075970,동국알앤에스,701
A001230,동국제강,701
A086450,동국제약,701
A023450,동남합성,701
A222070,동명스틸,701
A004140,동방,701
A099410,동방선기,701
A007590,동방아그로,701
A005960,동부건설,701
A026960,동서,701
A002210,동성제약,701
A102260,동성케미컬,701
A033500,동성화인텍,701
A025950,동신건설,701
A012760,동아,701
A000640,동아쏘시오홀딩스,701
A170900,동아에스티,701
A088130,동아엘텍,701
A028100,동아지질,701
A282690,동아타이어,701
A041930,동아화성,701
A001520,동양,701
A005900,동양건설산업,701
A084670,동양고속,701
A082640,동양생명,701
A060380,동양에스텍,701
A079960,동양이엔피,701
A008970,동양철관,701
A228340,동양파일,701
A092780,동양피스톤,701
A105700,동우당제약,701
A088910,동우팜투테이블,701
A094170,동운아나텍,701
A049770,동원F&B,701
A013120,동원개발,701
A018500,동원금속,701
A006040,동원산업,701
A030720,동원수산,701
A014820,동원시스템즈,701
A163560,동일고무벨트,701
A109860,동일금속,701
A032960,동일기연,701
A004890,동일산업,701
A002690,동일제강,701
A023790,동일철강,701
A026710,동진건설,701
A005290,동진쎄미켐,701
A025900,동화기업,701
A000020,동화약품,701
A136790,동화일렉트로라이트,701
A000150,두산,701
A241560,두산밥캣,701
A034020,두산중공업,701
A336260,두산퓨얼셀,701
A016740,두올,701
A118970,두올물산,701
A013900,두원중공업,701
A073190,듀오백,701
A176750,듀켐바이오,701
A030350,드래곤플라이,701
A035430,드림라인,701
A203650,드림시큐리티,701
A223250,드림씨아이에스,701
A060570,드림어스컴퍼니,701
A043500,드림텍,701
A192650,드림텍,701
A217620,디딤,701
A187870,디바이스이엔지,701
A101910,디비메탈,701
A066670,디스플레이텍,701
A024090,디씨엠,701
A003160,디아이,701
A092200,디아이씨,701
A110990,디아이티,701
A078590,디아크,701
A263690,디알젬,701
A214680,디알텍,701
A263720,디앤씨미디어,701
A376300,디어유,701
A109740,디에스케이,701
A131030,디에이치피코리아,701
A196490,디에이테크놀로지,701
A066900,디에이피,701
A180400,디엑스앤브이엑스,701
A127120,디엔에이링크,701
A092070,디엔에프,701
A039840,디오,701
A013570,디와이,701
A219550,디와이디,701
A310870,디와이씨,701
A210540,디와이파워,701
A104460,디와이피엔에프,701
A079810,디이엔티,701
A113810,디젠스,701
A043360,디지아이,701
A197140,디지캡,701
A106520,디지탈옵틱,701
A068930,디지털대성,701
A033130,디지틀조선,701
A105740,디케이락,701
A263020,디케이앤디,701
A290550,디케이티,701
A007340,디티알오토모티브,701
A187220,디티앤씨,701
A163430,디피코,701
A131180,딜리,701
A315640,딥노이드,701
A317120,라닉스,701
A042510,라온시큐어,701
A232680,라온테크,701
A300120,라온피플,701
A171120,라이온켐텍,701
A069540,라이트론,701
A285770,라이프사이언스테크놀로지,701
A347700,라이프시맨틱스,701
A214260,라파스,701
A115390,락앤락,701
A200350,래몽래인,701
A171010,램테크놀러지,701
A084650,랩지노믹스,701
A366130,랩토,701
A217500,러셀,701
A092590,럭스피아,701
A141080,레고켐바이오,701
A060300,레드로버,701
A038390,레드캡투어,701
A294140,레몬,701
A228670,레이,701
A228850,레이언스,701
A281740,레이크머티리얼즈,701
A277810,레인보우로보틱스,701
A179720,렌딩머신,701
A387530,로드,701
A215100,로보로보,701
A090360,로보스타,701
A238500,로보쓰리,701
A108490,로보티즈,701
A900260,로스웰,701
A223220,로지스몬,701
A067730,로지시스,701
A071280,로체시스템즈,701
A032350,롯데관광개발,701
A040830,롯데글로벌로지스,701
A089860,롯데렌탈,701
A000400,롯데손해보험,701
A023530,롯데쇼핑,701
A004000,롯데정밀화학,701
A286940,롯데정보통신,701
A280360,롯데제과,701
A004990,롯데지주,701
A005300,롯데칠성,701
A011170,롯데케미칼,701
A002270,롯데푸드,701
A071840,롯데하이마트,701
A038060,루멘스,701
A162120,루켄테크놀러지스,701
A253610,루트락,701
A085370,루트로닉,701
A060240,룽투코리아,701
A058470,리노공업,701
A039980,리노스,701
A019570,리더스 기술투자,701
A016100,리더스코스메틱,701
